,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL,Lyrics
0,Dance For You,Beyonce,Dance For You,6:17,/lyric/28443351/Beyonc%C3%A9/Dance+For+You,http://www.lyrics.com/lyric/28443351/Beyonc%C3%A9/Dance+For+You,"I just wanna Show you how much I appreciate you Wanna show you how much I'm dedicated to you Wanna show you how much I will forever be true Wanna show you how much you got your girl feelin' good Wanna show you how much, how much you're understood Wanna show you how much, I value what you say
Not only are you loyal, you're patient with me babe Wanna show you how much, I really care about yo heart I wanna show ya how much, I hate being apart
Show ya, show ya, show ya til you're through with me
I wanna keep it how it is, so you can never say how it used to be
 Loving you is really all that's on my mind
And I can't help but to think about it day and night I wanna make that body rock, sit back and watch  Tonight I'm gonna dance for you (ohh ooh ohh ohhh) Tonight I'm gonna dance for you (ohh ooh ohh ohhh) Tonight I'm gonna put my body on your body
Boy I like it when you watch me, ah Tonight it's going down
I'll be rockin' on my babe rockin' rockin' on my babe
Swirlin' on you babe swirlin' swirlin on you babe
Baby lemme put my body on your body Promise not to tell nobody 'cause
It's bout to go down

You'll never need two, 'cause I will be your number 1
Them other chicks are superficial But I know you know I'm the one
That's why I'm all into you
'Cause I can recognize that you know that
That's why I'm backin' this thing back
Pop poppin' this thing back
Drop drop drop dropping this thing back
This is for the time, you gave me flowers For the world, that is ours
For the mulah, for the power of love
I know I won't never ever eh-ever give you up
And I wanna say thank you in case I don't thank you enough A woman in the street and the freak in the you know what
Sit back sit back it's the pre game show Daddy you know what's up
 Loving you is really all that's on my mind
And I can't help but to think about it day and night I wanna make that body rock, sit back and watch  Tonight I'm gonna dance for you (ohh ooh ohh ohhh) Tonight I'm gonna dance for you (ohh ooh ohh ohhh) Tonight I'm gonna put my body on your body
Boy I like it when you watch me, ah Tonight it's going down
I'll be rockin' on my babe rockin' rockin' on my babe
Swirlin' on you babe swirlin' swirlin on you babe
Baby lemme put my body on your body Promise not to tell nobody 'cause
It's bout to go down

I'mma take this time
To show you how much you mean to me
'Cause you all I need
No money can emphasize or describe The love that's in between the lines Boy look into my eyes While I'm grinding on you
This is beyond sex
I'm high on you
If it's real then you know how I feel
Rockin' on you babe
Rockin' rockin' on you babe
Swirlin' on you babe
In my mind all I can think about
Is a frame for our future And the pictures of the past
And a chance to make this love last
 Tonight I'm gonna dance for you (ohh ooh ohh ohhh) Tonight I'm gonna dance for you (ohh ooh ohh ohhh) Tonight I'm gonna put my body on your body
Boy I like it when you watch me, ah Tonight it's going down
I'll be rockin' on my babe rockin' rockin' on my babe
Swirlin' on you babe swirlin' swirlin on you babe
Baby lemme put my body on your body Promise not to tell nobody 'cause
It's bout to go down"
1,Live in Vegas Instrumentals,Beyonce,Irreplaceable [Instrumental],5:12,/lyric/22062026/Beyonc%C3%A9/Irreplaceable+%5BInstrumental%5D,http://www.lyrics.com/lyric/22062026/Beyonc%C3%A9/Irreplaceable+%5BInstrumental%5D,"To the left, to the left
To the left, to the left
To the left, to the left
 Everything you own in the box to the left
In the closet, that's my stuff (Yes)
If I bought it, please don't touch 
And keep talkin' that mess, that's fine
But could you walk and talk at the same time?
And, it's my name that's on that Jag,
So remove your bags, let me call you a cab
 Standing in the front yard, telling me how I'm such a fool
Talkin' bout how I'll never ever find a man like you
You got me twisted 

You must not know 'bout me, you must not know 'bout me
I could have another you in a minute, Matter fact, he'll be here in a minute 

You must not know 'bout me, you must not know 'bout me
I can have another you by tomorrow 
So don't you ever for a second get to thinking you're irreplaceable 

So go ahead and get gone
Call up that chick and see if she's home
Oops! I bet you thought that I didn't know
What did you think I was putting you out for? Because you was untrue, rollin her round in the car that I bought you
Baby, drop them keys Hurry up before your taxi leaves 
 Standing in the front yard, telling me how I'm such a fool
Talkin' bout how I'll never ever find a man like you
You got me twisted 

You must not know 'bout it, you must not know 'bout me
I could have another you in a minute, Matter fact, he'll be here in a minute 

You must not know 'bout me, you must not know 'bout me
I will have another you by tomorrow 
So don't you ever for a second get to thinking you're irreplaceable (irreplaceable)

So since I'm not your everything,
How about I'll be nothing, nothing at all to you
Baby I won't shed a tear for you
I won't lose a wink of sleep 
'Cause the truth of the matter is, replacing you is so easy

To the left, to the left
To the left, to the left
To the left, to the left
 Everything you own in the box to the left
To the left, to the left
So don't you ever for a second get to thinking you're irreplaceable"
2,Work It Out [2002],Beyonce,Work It Out [Charlie's Nu NRG Mix], ,/lyric/9862951/Beyonc%C3%A9/Work+It+Out+%5BCharlie%27s+Nu+NRG+Mix%5D,http://www.lyrics.com/lyric/9862951/Beyonc%C3%A9/Work+It+Out+%5BCharlie%27s+Nu+NRG+Mix%5D,"How ya doin', honey, baby
You know I don't ask for much
But for a girl spendin' time alone 
Can be pretty rough
 
But I get a knock on my door
I know it's yours for sure
We can't wait for the bedroom 
So we just hit the floor 
 
Is y'all alright 
I don't know, but I know what's happened 
To me, girl, hey
Is y'all alright 
Uh, break it down now
 
She gotta work it out
He gotta work it out
A brother gotta work it out
Whoa, whoa
 
Child, blow your horn now
Come on, Child, blow your horn now
 
So we're shakin' back and forth now
Just keep it comin', babe Treat my body like a guitar 
You gotta, you gotta keep on strummin'
 
But in the back of my mind
Is it gonna be the last time
Well, if it ain't about lovin' and you goin' keep it
Comin'
Well, baby, with me that's fine
 
Is y'all alright 
I don't know, but I know what I know what's happened 
To me, girl
Is y'all alright 
Uh, break it down now
 
She gotta work it out
He gotta work it out, whoa Brother gotta work it out
Oh whoa
 
Child, blow your horn now
Come on, child, blow your horn now
Child, blow your horn now
Come on, child, blow your horn now
 
I like this
Ooh ooh hey
Uh
Look-a here Bring it
 
So baby, hold me
Like you don't want to let go
I'm feeling foxy
'Cause boy, you're workin' it out
 
My love you've given me a taste of your honey 
I want the whole beehive
I'm gonna call you my sugar to fly high
The sweetest time
 
You gotta work it out
You gotta work it out Brother gotta work it out
Uh-huh, uh-huh, uh-huh
 
I like it when the horn go
I like it when the horn go
I like it when the horn go
I like it when the horn go
  Austin better work it out
Foxy better work it out
AP3 better work it out
AP3 better work it out"
3,Work It Out [2002],Beyonce,Work It Out [Maurice's Nu Soul Mix], ,/lyric/9862950/Beyonc%C3%A9/Work+It+Out+%5BMaurice%27s+Nu+Soul+Mix%5D,http://www.lyrics.com/lyric/9862950/Beyonc%C3%A9/Work+It+Out+%5BMaurice%27s+Nu+Soul+Mix%5D,"How ya doin', honey, baby
You know I don't ask for much
But for a girl spendin' time alone 
Can be pretty rough
 
But I get a knock on my door
I know it's yours for sure
We can't wait for the bedroom 
So we just hit the floor 
 
Is why'all alright 
I don't know, but I know what's happened 
To me, girl, hey
Is why'all alright 
Uh, break it down now
 
She gotta work it out
He gotta work it out
A brother gotta work it out
Whoa...whoa...
 
Child, blow your horn now
Come on, Child, blow your horn now
 
So we're shakin' back and forth now
Just keep it comin', babe Treat my body like a guitar 
You gotta, you gotta keep on strummin'
 
But in the back of my mind
Is it gonna be the last time
Well, if it ain't about lovin' and you goin' keep it
Comin'
Well, baby, with me that's fine
 
Is why'all alright 
I don't know, but I know what I know what's happened 
To me, girl
Is why'all alright 
Uh, break it down now
 
She gotta work it out
He gotta work it out, whoa... Brother gotta work it out
Oh... whoa...
 
Child, blow your horn now
Come on, child, blow your horn now
Child, blow your horn now
Come on, child, blow your horn now
 
I like this
Ooh... ooh... hey
Uh
Look-a here Bring it
 
So baby, hold me
Like you don't want to let go
I'm feelin foxxy
'Cause boy, you're workin' it out
 
My love you've given me a taste of your honey 
I want the whole beehive
I'm gonna call you my sugar to fly high
The sweetest time
 
You gotta work it out
You gotta work it out Brother gotta work it out
Uh-huh, uh-huh, uh-huh
 
I like it when the horn go
I like it when the horn go
I like it when the horn go
I like it when the horn go
  Austin better work it out
Foxy better work it out
AP3 better work it out
AP3 better work it out"
4,Work It Out [2002],Beyonce,Work It Out [Nu Rock Mix], ,/lyric/9862952/Beyonc%C3%A9/Work+It+Out+%5BNu+Rock+Mix%5D,http://www.lyrics.com/lyric/9862952/Beyonc%C3%A9/Work+It+Out+%5BNu+Rock+Mix%5D,"How ya doin', honey, baby
You know I don't ask for much
But for a girl spendin' time alone 
Can be pretty rough
 
But I get a knock on my door
I know it's yours for sure
We can't wait for the bedroom 
So we just hit the floor 
 
Is why'all alright 
I don't know, but I know what's happened 
To me, girl, hey
Is why'all alright 
Uh, break it down now
 
She gotta work it out
He gotta work it out
A brother gotta work it out
Whoa...whoa...
 
Child, blow your horn now
Come on, Child, blow your horn now
 
So we're shakin' back and forth now
Just keep it comin', babe Treat my body like a guitar 
You gotta, you gotta keep on strummin'
 
But in the back of my mind
Is it gonna be the last time
Well, if it ain't about lovin' and you goin' keep it
Comin'
Well, baby, with me that's fine
 
Is why'all alright 
I don't know, but I know what I know what's happened 
To me, girl
Is why'all alright 
Uh, break it down now
 
She gotta work it out
He gotta work it out, whoa... Brother gotta work it out
Oh... whoa...
 
Child, blow your horn now
Come on, child, blow your horn now
Child, blow your horn now
Come on, child, blow your horn now
 
I like this
Ooh... ooh... hey
Uh
Look-a here Bring it
 
So baby, hold me
Like you don't want to let go
I'm feelin foxxy
'Cause boy, you're workin' it out
 
My love you've given me a taste of your honey 
I want the whole beehive
I'm gonna call you my sugar to fly high
The sweetest time
 
You gotta work it out
You gotta work it out Brother gotta work it out
Uh-huh, uh-huh, uh-huh
 
I like it when the horn go
I like it when the horn go
I like it when the horn go
I like it when the horn go
  Austin better work it out
Foxy better work it out
AP3 better work it out
AP3 better work it out"
5,Crazy in Love [2003],Beyonce,Crazy in Love [Single Version]w/ Jay-Z,4:10,/lyric/6450097/Jay-Z/Crazy+in+Love+%5BSingle+Version%5D,http://www.lyrics.com/lyric/6450097/Jay-Z/Crazy+in+Love+%5BSingle+Version%5D,"Yes
It's so crazy right now
Most incredibly, it's ya girl, B
It's ya boy, young 

You ready?
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no

Yeah, history in the making 
Part two--it's so crazy right now

I look and stare so deep in your eyes
I touch on you more and more every time
When you leave, I'm begging you not to go
Call your name two or three times in a row
Such a funny thing for me to try to explain 
How I'm feeling and my pride is the one to blame 
'Cause I know I don't understand 
Just how your love can do what no one else can

Got me looking so crazy right now, your love's
Got me looking so crazy right now (in love)
Got me looking so crazy right now, your touch 
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss 
Got me hoping you'll save me right now  Looking so crazy in love's
Got me looking, got me looking so crazy in love

Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no
Uh oh, uh oh, uh oh, oh, no, no

When I talk to my friends so quietly 
Who he think he is? Look at what you did to me Tennis shoes, don't even need to buy a new dress 
If you ain't there, ain't nobody else to impress 
It's the way that you know what I thought I knew
It's the beat my heart skips when I'm with you
But I still don't understand 
Just how your love can do what no one else can

Got me looking so crazy right now, your love's
Got me looking so crazy right now (oh, crazy)
Got me looking so crazy right now, your touch (you're in love)
Got me looking so crazy right now (love)
Got me hoping you'll page me right now, your kiss (hey)
Got me hoping you'll save me right now  Looking so crazy in love's (hey)
Got me looking, got me looking so crazy in love
I'm looking so crazy in love's
Got me looking, got me looking so crazy in love
 Check it, let's go Young 'Hov, y'all know when the flow is loco Young B and the R-O-C, uh oh, (oh)
Ol' G, big homey, the one and only Stick bony, but the pocket is fat like Tony--Soprano (oh no)
The ROC handle like Van Axel
I shake phonies, man; you can't get next to
The genuine article; I do not sing though 
I sling though; if anything, I bling yo
A star like Ringo, roll like a green beret Crazy bring ya whole set
Jay Z in the range, crazy and deranged 
They can't figure him out; they like, ""hey, is he insane?""
Yes, sir, I'm cut from a different cloth
My texture is the best fur, chinchilla 
(Uh oh, uh oh, uh oh, oh, no, no)
I been iller than chain smokers
How you think I got the name Hova?
(Uh oh, uh oh, uh oh, oh, no, no)
I been realer; the game's over
(Uh oh, uh oh, uh oh, oh, no, no)
Fall back, young; ever since I made the change over
(Uh oh, uh oh, uh oh, oh, no, no)
To platinum the game's been wrap, one

Got me looking so crazy, my baby
I'm not myself; lately I'm foolish, I don't do this
I've been playing myself; baby, I don't care
'Cause your love's got the best of me
And, baby, you're making a fool of me
You got me sprung and I don't care who sees
'Cause, baby, you got me, you got me so crazy, baby
Hey

Got me looking so crazy right now, your love's (oh love)
Got me looking so crazy right now (lookin' crazy)
Got me looking so crazy right now, your touch 
Got me looking so crazy right now 
Got me hoping you'll page me right now, your kiss (baby)
Got me hoping you'll save me right now (baby) Looking so crazy in love's (whoa)
Got me looking, got me looking so crazy in love (whoa)
Got me looking so crazy right now, your love's
Got me looking so crazy right now (your love)
Got me looking so crazy right now, your touch 
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss 
Got me hoping you'll save me right now  Looking so crazy in love's
Got me looking, got me looking so crazy in love"
6,Crazy in Love [2003],Beyonce,Krazy in Luv [Maurice's Nu Soul Remix],6:28,/lyric/6450100/Beyonc%C3%A9/Krazy+in+Luv+%5BMaurice%27s+Nu+Soul+Remix%5D,http://www.lyrics.com/lyric/6450100/Beyonc%C3%A9/Krazy+in+Luv+%5BMaurice%27s+Nu+Soul+Remix%5D,"Yes! So crazy right now
Most incredibly 
It's your girl b
It's your boy young  History in the makin'
Part 2

I look and stare so deep in your eyes
I touch on you more and more every time
When you leave I'm beggin' you not to go
Call your name two,three times in a row

Such a funny thing for me to try to explain 
How I'm feeling and my pride is the one to blame 
Yeah, cause I know I don't understand 
Just how your love can do what no one else can

Got me lookin' so crazy right now
Your love's got me lookin' so crazy right now
(your love)

Got me lookin' so crazy right now your touch's
Got me lookin' so crazy right now
(your touch)

Got me hoping you page me right now your kiss's
Got me hoping you save me right now
Lookin' so crazy your love's got me lookin'
Got me lookin' so crazy your love

When I talk to my friends so quietly 
""who he think he is?"" look at what you've done to me Tennis shoes don't even need to buy a new dress 
You ain't there, ain't nobody else to impress 

It's the way that you know what I thought I knew
It's the beat that my heart skips when I'm with you
Yeah, but I still don't understand 
Just how your love can do what no one else can

Got me lookin' so crazy right now
Your love's got me lookin' so crazy right now
(your love)

Got me lookin' so crazy right now your touch's
Got me lookin' so crazy right now
(your touch)

Got me hoping you page me right now your kiss's
Got me hoping you save me right now
Lookin' so crazy your love's got me lookin'
Got me lookin' so crazy your love

I'm warmed up now
Let's go
 Young Hova
Y'all know when the flow is loco
 Young b and the r-o-c uh oh
O-g, big homie 
The one and only Stick boney but the pockets are fat like tony
 Soprano the Roc handle 
Like Van Exel
I shake phonies man, you can't get next to
A genuine article, I do not sing tho
I sling though, if anything I bling yo

Star like Ringo 
War like a green berret
You're crazy bring your whole set
Jay-z in the range 
 Crazy and deranged 
They can't figure him out
They're like ""hey is he insane?""

Yes sir I'm cut from a different cloth
My texture is the best fur, I'm chinchilla 

I've been I'll of the chain smokers
How you think I got the name Hova
I've been reala'
The game's over

Fall back young ever since 
I made you change over to platinum 
The game's been a wrap
One

Got me looking so crazy, my baby
I'm not myself lately
I'm foolish, I don't do this
I've been playin' myself 

Baby I don't care
'Cause your love got the best of me
And baby you're makin' a fool of me
You got me sprung and I don't care who sees
'Cause baby you got me so crazy 

Got me lookin' so crazy right now
Your love's got me lookin' so crazy right now
(your love)

Got me lookin' so crazy right now your touch's
Got me lookin' so crazy right now
(your touch)

Got me hoping you page me right now your kiss's
Got me hoping you save me right now
Lookin' so crazy your love's got me lookin'
Got me lookin' so crazy your love
[Repeat until fade]"
7,Crazy in Love [2003],Beyonce,Summertimew/ Puff Daddy,3:52,/lyric/6450098/Beyonc%C3%A9/Summertime,http://www.lyrics.com/lyric/6450098/Beyonc%C3%A9/Summertime,"Out of all the guys that approach me Walking up to me like they know me
You were the one that stayed aside Waited a while and took your time
You don't know how impressing 
Your curiosity was to me
It was the fourth day of July Looked in my eyes and saw that I

I wanted more than just a man
I needed a friend  Someone I can talk to, someone who really listens
When you touched my hand, the sun got brighter then Trusting you, I closed my eyes and felt our love begin 

It was the summertime 
When we fell in love, it was the summertime  Heaven shined on us; it was the summertime 
Baby, there is nothing like the summertime  Summertime 

Now it's been a year and we're closer 
Fall in love again when I hold ya
I know that God set you aside for me
And now you are my prize  Wanna grow old wit'cha
And fill our house with your pictures 
Have a son for you
A little girl for me Together we'll raise a family 

Baby, you're more than just a man
You are my best friend  Someone I can talk to, someone who really listens
When you touched my hand, the sun got brighter then Trusting you, I closed my eyes and felt our love begin 

It was the summertime 
When we fell in love, it was the summertime  Heaven shined on us; it was the summertime 
Baby, there is nothing like the summertime  Summertime 

It was the summertime 
When we fell in love, it was the summertime  Heaven shined on us; it was the summertime 
Baby, there is nothing like the summertime 
Summertime"
8,Dangerously in Love [2003],Beyonce,Baby Boyw/ Sean Paul,4:04,/lyric/6366222/Beyonc%C3%A9/Baby+Boy,http://www.lyrics.com/lyric/6366222/Beyonc%C3%A9/Baby+Boy,"Certified quality 
A dat da girl dem need and dem not stop cry without apology
Buck dem da right way--dat my policy 
Sean Paul alongside now hear what da man say, Beyoncé Dutty ya, dutty ya, dutty ya
Beyoncé sing it now ya

Baby boy, you stay on my mind Fulfill my fantasies 
I think about you all the time
I see you in my dreams 

Baby boy, not a day goes by Without my fantasies 
I think about you all the time
I see you in my dreams 

Ah, oh, my baby's fly, baby, oh
Yes, no, hurt me so good, baby, oh
I'm so wrapped up in your love, let me go
Let me breathe, stay out my fantasies 

Ya ready gimme da ting dat ya ready get ya live
And tell me all about da tings that you will fantasize 
I know you dig da way me step da way me make my stride  Follow your feelings, baby girl, because they cannot be denied 
Come check me in a night and make we get it amplified 
Me have da ting to run da ship 'cause I'm go slip and I'm go slide 
And in the words of love I got ta get it certified 
But I give you da toughest longest kinda ride, girl

Baby boy, you stay on my mind Fulfill my fantasies 
I think about you all the time
I see you in my dreams 

Baby boy, not a day goes by Without my fantasies 
I think about you all the time
I see you in my dreams 
 Picture us dancin' real close 
In a dark dark corner of a basement party Every time I close my eyes
It's like everyone left but you and me

In our own little world
The music is the sun
The dance floor becomes the sea Feels like true paradise to me

Baby boy, you stay on my mind Fulfill my fantasies 
I think about you all the time
I see you in my dreams 

Baby boy, not a day goes by Without my fantasies 
I think about you all the time
I see you in my dreams 

Baby boy, you stay on my mind
Baby boy, you are so damn fine
Baby boy, won't you be mine?
Baby boy, let's conceive an angel 

Baby boy, you stay on my mind
Baby boy, you are so damn fine
Baby boy, won't you be mine?
Baby boy, let's conceive an angel 

Top, top, girl
Me and you together is a wrap, dat girl Driving around da town in your drop top, girl
You no stop shock, girl Little more da dutty, we'll rock dat world 

Top, top, girl
Me and you together is a wrap, dat girl Driving around da town in your drop top, girl
You no stop shock, girl Little more da dutty, we'll rock dat world 

Baby boy, you stay on my mind Fulfill my fantasies 
I think about you all the time
I see you in my dreams 

Baby boy, not a day goes by Without my fantasies 
I think about you all the time
I see you in my dreams 

We stepping in hotter this year
We stepping in hotter this year
I know you gon' like it
I know you gon' like it
I'm stepping in hotter this year
I'm stepping in hotter this year
So don't you fight it
So don't you fight it"
9,Dangerously in Love [2003],Beyonce,Be with You,4:20,/lyric/6366224/Beyonc%C3%A9/Be+with+You,http://www.lyrics.com/lyric/6366224/Beyonc%C3%A9/Be+with+You,"Ooh baby
Ooh baby

I love the way you make me feel
It slows down time
Come in my bedroom and turn off the lights 
You whisper softly in my ear Makes me unwind 
The way you touch me let's me know you're mine

I'd rather be with you Because I love the way you scream my name
And there's no other man that gives me what I want
And makes me feel this way
I'd rather be with you because you hustle hard 
To take care of me
I'd rather be with you
Boy I'd rather be with you (I'd rather be with you)
Boy I'd rather be with you

I love the way you look at me Stare into my eyes
What do they say to you boy don't be shy
Tonight's the night your fantasies 
Will all come true
I am your woman I belong to you, whoah 
 There is nothing I won't do for you
I know my soul connected me to you
I feel so safe when I'm alone with you oh
I'm holding back nothin' saving it all for you
Baby I love making love to you
It's like a high I can't come down from you

I'd rather be with you because I love the way 
You scream my name (scream my name)
And there's no other man that gives me what I want
And makes me feel this way (makes me feel this way)
I'd rather be with you because you hustle hard (I'd rather be with you babe) 
To take care of me (now hold it down for me baby)
I'd rather be with you

Boy I'd rather be with you (I'd rather be with you)
I'd rather be, I'd rather be with you oh

Hey!
I'd rather be with you well yeah
Boy I rather be with you
I'd rather be with you well yeah
Boy I rather be with you (I rather, rather be, rather be with you)

I'd rather be with you because I love the way (I love the way you scream my name) 
You scream my name (scream it louder baby)
And there's no other man that gives me what I want (make me, make me feel this way)
And makes me feel this way (make me feel good)
I'd rather be with you because you hustle hard 
To take care of me (so good, so good)
I'd rather be with you

Boy I'd rather be with you (I'd rather be with you)
I don't want nobody else but you

I'd rather be with you because I love the way 
You scream my name
And there's no other man that gives me what I want
And makes me feel this way
I'd rather be with you because you hustle hard (I'd rather be with you babe) 
To take care of me 
I'd rather be with you

Boy I'd rather be with you (I'd rather be with you)
Boy I'd rather be with you"
