,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL,Lyrics
0,Everglow [Single Version],Coldplay,Everglow [Single Version Edit],3:47,/lyric/33489403/Coldplay/Everglow+%5BSingle+Version+Edit%5D,http://www.lyrics.com/lyric/33489403/Coldplay/Everglow+%5BSingle+Version+Edit%5D,"Well, they say people come
The say people go
This particular diamond was extra special
And though you might be gone, and the world may not know Still I see you, celestial 

And I should but I can't let you go
But when I'm cold, I'm cold
Yeah, when I'm cold
Cold
There’s a light that you give me when I’m in shadow 
There’s a feeling within me, an everglow 

Like brothers in blood, or sisters who ride
Yeah we swore on that night we’d be friends 'til we die
But the changing of winds, and the way waters flow
Life is short as the falling of snow
And I’m gonna miss you, I know

But when I’m cold, cold
In water rolled, salt
And I know that you’re with me and the way you will show
And you’re with me wherever I go
And you give me this feeling, this everglow 

What I wouldn't give for just a moment to hold
Because, I live for this feeling, this everglow 

So if you love someone, you should let them know
Oh, the light that you left me will everglow"
1,Everglow [Single Version],Coldplay,Everglow [Single Version],5:01,/lyric/33489402/Coldplay/Everglow+%5BSingle+Version%5D,http://www.lyrics.com/lyric/33489402/Coldplay/Everglow+%5BSingle+Version%5D,"Well, they say people come
The say people go
This particular diamond was extra special
And though you might be gone, and the world may not know Still I see you, celestial 

And I should but I can't let you go
But when I'm cold, I'm cold
Yeah, when I'm cold
Cold
There’s a light that you give me when I’m in shadow 
There’s a feeling within me, an everglow 

Like brothers in blood, or sisters who ride
Yeah we swore on that night we’d be friends 'til we die
But the changing of winds, and the way waters flow
Life is short as the falling of snow
And I’m gonna miss you, I know

But when I’m cold, cold
In water rolled, salt
And I know that you’re with me and the way you will show
And you’re with me wherever I go
And you give me this feeling, this everglow 

What I wouldn't give for just a moment to hold
Because, I live for this feeling, this everglow 

So if you love someone, you should let them know
Oh, the light that you left me will everglow 

God is watching me
God is, God don't praise me because I be Joe Fraiser 
God don't give nothin' 'bout Joe Fraiser 
God don't care nothin' about England or America as far as
Your wealth is all his
He wants to know how do we treat each other, how do we help each other 
So, I'm gonna dedicate my life to using my name and popularity to helping charities Helping people, unite with people bring people bombing each other because of religious beliefs
We need somebody in the world to help us all make peace 
So when I die, if there's a heaven I'm gonna see it"
2,Lost!,Coldplay,Lost?,3:42,/lyric/19046305/Coldplay/Lost%3F,http://www.lyrics.com/lyric/19046305/Coldplay/Lost%3F,"Just because I'm losing 
Doesn't mean I'm lost
Doesn't mean I'll stop
Doesn't mean I will cross 

Just because I'm hurting 
Doesn't mean I'm hurt
Doesn't mean I didn't get what I deserve 
No better and no worse 

I just got lost Every river that I've tried to cross 
And every door I ever tried was locked 
Oh, and I'm just waiting 'till the shine wears off.

You might be a big fish
In a little pond
Doesn't mean you've won
'Cause along may come
A bigger one
And you'll be lost
 Every river that you tried to cross  Every gun you ever held went off
Oh, and I'm just waiting 'till the firing starts
Oh, and I'm just waiting 'till the shine wears off
Oh, and I'm just waiting 'till the shine wears off

Oh, and I'm just waiting 'till the shine wears off
Oh, and I'm just waiting 'till the shine wears off."
3,Up&Up;,Coldplay,Up & Up [Radio Edit],3:58,/lyric/32837888/Coldplay/Up+%26+Up+%5BRadio+Edit%5D,http://www.lyrics.com/lyric/32837888/Coldplay/Up+%26+Up+%5BRadio+Edit%5D,"Fixing up a car to drive in it again  Searching for the water hoping for the rain
Up and up
Up and up
Down upon the canvas, working meal to meal Waiting for a chance to pick your orange field
Up and up
Up and up
See a pearl form, a diamond in the rough 
See a bird soaring high above the flood 
It’s in your blood 
It’s in your blood  Underneath the storm an umbrella is saying  Sitting with the poison takes away the pain
Up and up
Up and up 

It’s saying 

We’re going to get it get it together right now Going to get it get it together somehow Going to get it get it together and flower 
Oh whoah 
We’re going to get it get it together I know Going to get it get it together and flow Going to get it get it together and go
Up and up and up
 Lying in the gutter, aiming for the moon Trying to empty out the ocean with a spoon 
Up and up
Up and up
See the forest staring at every seed Angels in the marble waiting to be freed 
Just need love
Just need love
When the going is rough, saying 

We're gonna get it, get it together 
I know we're gonna get it, get it together somehow
We're gonna get it, get it together and flow
Oh whoah 

We're gonna get it, get it together 
I know, we're gonna get it, get it together and flow
We're gonna get it, get it together and go

'Cause you can say what is, or fight for it Close your mind and take the risk
You can say smile and clench your fist
And see each other as a gift

We're gonna get it, get it together 
I know we're gonna get it, get it together somehow
We're gonna get it, get it together and flow
Oh whoah 

We're gonna get it, get it together 
I know, we're gonna get it, get it together and flow
We're gonna get it, get it together and go
Up, and up, and up

We're gonna get it, get it together 
I know we're gonna get it, get it together somehow
We're gonna get it, get it together and flow
Oh whoah 


We're gonna get it, get it together 
I know, we're gonna get it, get it together and flow
We're gonna get it, get it together and go
Up, and up, and up
 Fixing up a car to drive in it again 
When you're in pain, when you think you've had enough 

Don't ever give up"
4,Safety [1998],Coldplay,No More Keeping My Feet on the Ground, ,/lyric/5688513/Coldplay/No+More+Keeping+My+Feet+on+the+Ground,http://www.lyrics.com/lyric/5688513/Coldplay/No+More+Keeping+My+Feet+on+the+Ground,"Sometimes I wake up when I'm falling asleep
I think that maybe the curtains are closing on me
But I wake up, yes I wake up smiling 

[Chorus]
So what I feel fine
I'm okay, I've seen the lighter side of life
I'm alright I feel good
So ill go, ill try to start moving
 Sometimes I wake up and I'm falling asleep
But I've got to get going, so much that I wanted to do
But I wake up smiling 

And this could be my last chance 
Of saving my innocence 
And this could be my last chance 
No more keeping my feet on the ground 
 Sometimes I feel the chance is surprising  Surprisingly good to be moving around
And I move, and I wake up smiling 

[Chorus]

And this could be my last chance 
Of saving my innocence 
And this could be my last chance 
No more keeping my feet on the ground 

And there's nothing to keep them Nothing to keep them down
And there's nothing to keep them
There's nothing to keep them down."
5,Brothers & Sisters [1999],Coldplay,Easy to Please,3:01,/lyric/6693089/Coldplay/Easy+to+Please,http://www.lyrics.com/lyric/6693089/Coldplay/Easy+to+Please,"Love, I hope we get on 
I hope we can find a way  Seeing it all 
Love, I hope we can be 
I hope I can find a way 
Of letting you see 
That I'm so easy to please 
So easy 

Love, I hope we grow up 
I hope we can find a way 
Of seeing it all 
Love, I hope we can be 
I hope I can find a way 
Of letting you see 
That I'm so easy to please 
So easy"
6,Brothers & Sisters [1999],Coldplay,Only Superstition,3:48,/lyric/6693090/Coldplay/Only+Superstition,http://www.lyrics.com/lyric/6693090/Coldplay/Only+Superstition,"The cardboard head I see
Has found its way to me
Its out and its out and its out Making me cry
I sleep but I will not move
I'm too scared to leave my room
But I won't be defeated, oh no

[Chorus:]
What if cars don't go my way
And its sure to spoil my day?
But in voices loud and clear you say to me;
""Its only superstition 
Its only your imagination 
Its only all the things that you fear
And the things from which you can't escape""

Keep clean for the thousandth time Stand still and wait in line
Some numbers are better than others 
Oh no

[Chorus]

And its making me cry, and its making me cry
And I'm slipping away, I'm slipping away

Its only superstition, only your imagination 
And its only superstition, only superstition."
7,The Blue Room [1999],Coldplay,Bigger Stronger,4:49,/lyric/3734094/Coldplay/Bigger+Stronger,http://www.lyrics.com/lyric/3734094/Coldplay/Bigger+Stronger,"I want to be bigger stronger drive a faster car
To take me anywhere in seconds To take me anywhere I want to go
And drive around a faster car
I will settle for nothing less
I will settle for nothing less

I want to be bigger stronger drive a faster car
At the touch of a button I can go anywhere I want to go
And drive around my faster car
I will settle for nothing less
I will settle for nothing less

I think I want to change my attitude I think I want to change my oxygen I think I want to change my air
My atmosphere I want to choke 
I want to be bigger stronger drive a faster car
To take me anywhere in seconds To take me anywhere I want to go
And drive around my faster car
I will settle for nothing less
I will settle for nothing less

I think I need to change my attitude I think I want to change my oxygen I think I want to change my air
My atmosphere I want to choke  Bigger better Bigger and better Bigger and better Bigger stronger drive a faster car
At the touch of a button I can go anywhere I want to go"
8,The Blue Room [1999],Coldplay,High Speed,4:16,/lyric/3734097/Coldplay/High+Speed,http://www.lyrics.com/lyric/3734097/Coldplay/High+Speed,"Can anybody fly this thing  Before my head explodes 
Or my head starts to ring

We've been living life Inside a bubble 
We've been living life Inside a bubble 
 Confidence in you
Is confidence in me
Is confidence in high speed 

Can anybody stop this thing  Before my head explodes 
Or my head starts to ring

We've been living life Inside a bubble 
We've been living life Inside a bubble 
 Confidence in you
Is confidence in me
Is confidence in high speed 

High speed 
High speed 

High speed you on
High speed you on
High speed you on
High speed you on"
9,The Blue Room [1999],Coldplay,See You Soon,2:51,/lyric/3734096/Coldplay/See+You+Soon,http://www.lyrics.com/lyric/3734096/Coldplay/See+You+Soon,"See you lost your trust and you never should have, you never should have.
Don't break your back if you ever see this.
Don't answer that.
In a bullet proof vest with the windows all closed I'll be doing my best
I'll see you soon.
In a telescope lens when all you want is friends I'll see you soon.

See, they came for you they came snapping at your heels, they came snapping at your heels.
Don't break your back if you ever see this.
Don't answer that.
In a bullet proof vest with the windows all closed I'll be doing my best
I'll see you soon.
In a telescope lens when all you want is friends I'll see you soon.

You lost your trust You lost your trust No don't lose your trust No don't lose your trust"
