,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
0,Dance For You,Beyonce,Dance For You,6:17,/lyric/28443351/Beyonc%C3%A9/Dance+For+You,http://www.lyrics.com/lyric/28443351/Beyonc%C3%A9/Dance+For+You
1,Live in Vegas Instrumentals,Beyonce,Irreplaceable [Instrumental],5:12,/lyric/22062026/Beyonc%C3%A9/Irreplaceable+%5BInstrumental%5D,http://www.lyrics.com/lyric/22062026/Beyonc%C3%A9/Irreplaceable+%5BInstrumental%5D
2,Work It Out [2002],Beyonce,Work It Out [Charlie's Nu NRG Mix], ,/lyric/9862951/Beyonc%C3%A9/Work+It+Out+%5BCharlie%27s+Nu+NRG+Mix%5D,http://www.lyrics.com/lyric/9862951/Beyonc%C3%A9/Work+It+Out+%5BCharlie%27s+Nu+NRG+Mix%5D
3,Work It Out [2002],Beyonce,Work It Out [Maurice's Nu Soul Mix], ,/lyric/9862950/Beyonc%C3%A9/Work+It+Out+%5BMaurice%27s+Nu+Soul+Mix%5D,http://www.lyrics.com/lyric/9862950/Beyonc%C3%A9/Work+It+Out+%5BMaurice%27s+Nu+Soul+Mix%5D
4,Work It Out [2002],Beyonce,Work It Out [Nu Rock Mix], ,/lyric/9862952/Beyonc%C3%A9/Work+It+Out+%5BNu+Rock+Mix%5D,http://www.lyrics.com/lyric/9862952/Beyonc%C3%A9/Work+It+Out+%5BNu+Rock+Mix%5D
5,Crazy in Love [2003],Beyonce,Crazy in Love [Single Version]w/ Jay-Z,4:10,/lyric/6450097/Jay-Z/Crazy+in+Love+%5BSingle+Version%5D,http://www.lyrics.com/lyric/6450097/Jay-Z/Crazy+in+Love+%5BSingle+Version%5D
6,Crazy in Love [2003],Beyonce,Krazy in Luv [Maurice's Nu Soul Remix],6:28,/lyric/6450100/Beyonc%C3%A9/Krazy+in+Luv+%5BMaurice%27s+Nu+Soul+Remix%5D,http://www.lyrics.com/lyric/6450100/Beyonc%C3%A9/Krazy+in+Luv+%5BMaurice%27s+Nu+Soul+Remix%5D
7,Crazy in Love [2003],Beyonce,Summertimew/ Puff Daddy,3:52,/lyric/6450098/Beyonc%C3%A9/Summertime,http://www.lyrics.com/lyric/6450098/Beyonc%C3%A9/Summertime
8,Dangerously in Love [2003],Beyonce,Baby Boyw/ Sean Paul,4:04,/lyric/6366222/Beyonc%C3%A9/Baby+Boy,http://www.lyrics.com/lyric/6366222/Beyonc%C3%A9/Baby+Boy
9,Dangerously in Love [2003],Beyonce,Be with You,4:20,/lyric/6366224/Beyonc%C3%A9/Be+with+You,http://www.lyrics.com/lyric/6366224/Beyonc%C3%A9/Be+with+You
10,Dangerously in Love [2003],Beyonce,Beyoncé Interlude,:16,/lyric/6366232/Beyonc%C3%A9/Beyonc%C3%A9+Interlude,http://www.lyrics.com/lyric/6366232/Beyonc%C3%A9/Beyonc%C3%A9+Interlude
11,Dangerously in Love [2003],Beyonce,The Closer I Get to Youw/ Luther Vandross,4:57,/lyric/6366230/Luther+Vandross/The+Closer+I+Get+to+You,http://www.lyrics.com/lyric/6366230/Luther+Vandross/The+Closer+I+Get+to+You
12,Dangerously in Love [2003],Beyonce,Crazy in Lovew/ Jay-Z,3:56,/lyric/6366220/Jay-Z/Crazy+in+Love,http://www.lyrics.com/lyric/6366220/Jay-Z/Crazy+in+Love
13,Dangerously in Love [2003],Beyonce,Dangerously in Love 2,4:54,/lyric/6366231/Beyonc%C3%A9/Dangerously+in+Love+2,http://www.lyrics.com/lyric/6366231/Beyonc%C3%A9/Dangerously+in+Love+2
14,Dangerously in Love [2003],Beyonce,Gift from Virgo,2:46,/lyric/6366233/Beyonc%C3%A9/Gift+from+Virgo,http://www.lyrics.com/lyric/6366233/Beyonc%C3%A9/Gift+from+Virgo
