,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
0,Billionaire,Bruno Mars,Billionaire [Acoustic]w/ Travie McCoy,3:32,/lyric/28827198/Bruno+Mars/Billionaire+%5BAcoustic%5D,http://www.lyrics.com/lyric/28827198/Bruno+Mars/Billionaire+%5BAcoustic%5D
1,Billionaire,Bruno Mars,Billionaire [Version]w/ Travie McCoy,3:32,/lyric/21994061/Bruno+Mars/Billionaire+%5BVersion%5D,http://www.lyrics.com/lyric/21994061/Bruno+Mars/Billionaire+%5BVersion%5D
2,The Grenade Sessions,Bruno Mars,Grenade [Acoustic], ,/lyric/26378065/Bruno+Mars/Grenade+%5BAcoustic%5D,http://www.lyrics.com/lyric/26378065/Bruno+Mars/Grenade+%5BAcoustic%5D
3,Doo Wops & Hooligans [Bonus Tracks] [2010],Bruno Mars,Somewhere in Brooklyn [*],3:03,/lyric/22923758/Bruno+Mars/Somewhere+in+Brooklyn+%5B%2A%5D,http://www.lyrics.com/lyric/22923758/Bruno+Mars/Somewhere+in+Brooklyn+%5B%2A%5D
4,Doo Wops & Hooligans [Bonus Tracks] [2010],Bruno Mars,Talking to the Moon [Acoustic Piano Version] [*][Version],3:38,/lyric/22923757/Bruno+Mars/Talking+to+the+Moon+%5BAcoustic+Piano+Version%5D+%5B%2A%5D%5BVersion%5D,http://www.lyrics.com/lyric/22923757/Bruno+Mars/Talking+to+the+Moon+%5BAcoustic+Piano+Version%5D+%5B%2A%5D%5BVersion%5D
5,Doo-Wops & Hooligans [2010],Bruno Mars,Count on Me,3:17,/lyric/21957679/Bruno+Mars/Count+on+Me,http://www.lyrics.com/lyric/21957679/Bruno+Mars/Count+on+Me
6,Doo-Wops & Hooligans [2010],Bruno Mars,Grenade,3:42,/lyric/21957687/Bruno+Mars/Grenade,http://www.lyrics.com/lyric/21957687/Bruno+Mars/Grenade
7,Doo-Wops & Hooligans [2010],Bruno Mars,Just the Way You Are,3:40,/lyric/21957686/Bruno+Mars/Just+the+Way+You+Are,http://www.lyrics.com/lyric/21957686/Bruno+Mars/Just+the+Way+You+Are
8,Doo-Wops & Hooligans [2010],Bruno Mars,The Lazy Song,3:15,/lyric/21957683/Bruno+Mars/The+Lazy+Song,http://www.lyrics.com/lyric/21957683/Bruno+Mars/The+Lazy+Song
9,Doo-Wops & Hooligans [2010],Bruno Mars,Liquor Store Bluesw/ Damian Marley,3:49,/lyric/21957680/Damian+Marley/Liquor+Store+Blues,http://www.lyrics.com/lyric/21957680/Damian+Marley/Liquor+Store+Blues
10,Doo-Wops & Hooligans [2010],Bruno Mars,Marry You,3:50,/lyric/21957682/Bruno+Mars/Marry+You,http://www.lyrics.com/lyric/21957682/Bruno+Mars/Marry+You
11,Doo-Wops & Hooligans [2010],Bruno Mars,"The Other Sidew/ Cee Lo Green, B.O.B., B.o.B",3:47,/lyric/21957678/Cee+Lo+Green/The+Other+Side,http://www.lyrics.com/lyric/21957678/Cee+Lo+Green/The+Other+Side
12,Doo-Wops & Hooligans [2010],Bruno Mars,Our First Time,4:03,/lyric/21957685/Bruno+Mars/Our+First+Time,http://www.lyrics.com/lyric/21957685/Bruno+Mars/Our+First+Time
13,Doo-Wops & Hooligans [2010],Bruno Mars,Runaway Baby,2:28,/lyric/21957684/Bruno+Mars/Runaway+Baby,http://www.lyrics.com/lyric/21957684/Bruno+Mars/Runaway+Baby
14,Doo-Wops & Hooligans [2010],Bruno Mars,Talking to the Moon,3:37,/lyric/21957681/Bruno+Mars/Talking+to+the+Moon,http://www.lyrics.com/lyric/21957681/Bruno+Mars/Talking+to+the+Moon
