,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
0,Everglow [Single Version],Coldplay,Everglow [Single Version Edit],3:47,/lyric/33489403/Coldplay/Everglow+%5BSingle+Version+Edit%5D,http://www.lyrics.com/lyric/33489403/Coldplay/Everglow+%5BSingle+Version+Edit%5D
1,Everglow [Single Version],Coldplay,Everglow [Single Version],5:01,/lyric/33489402/Coldplay/Everglow+%5BSingle+Version%5D,http://www.lyrics.com/lyric/33489402/Coldplay/Everglow+%5BSingle+Version%5D
2,Lost!,Coldplay,Lost?,3:42,/lyric/19046305/Coldplay/Lost%3F,http://www.lyrics.com/lyric/19046305/Coldplay/Lost%3F
3,Up&Up;,Coldplay,Up & Up [Radio Edit],3:58,/lyric/32837888/Coldplay/Up+%26+Up+%5BRadio+Edit%5D,http://www.lyrics.com/lyric/32837888/Coldplay/Up+%26+Up+%5BRadio+Edit%5D
4,Safety [1998],Coldplay,No More Keeping My Feet on the Ground, ,/lyric/5688513/Coldplay/No+More+Keeping+My+Feet+on+the+Ground,http://www.lyrics.com/lyric/5688513/Coldplay/No+More+Keeping+My+Feet+on+the+Ground
5,Brothers & Sisters [1999],Coldplay,Easy to Please,3:01,/lyric/6693089/Coldplay/Easy+to+Please,http://www.lyrics.com/lyric/6693089/Coldplay/Easy+to+Please
6,Brothers & Sisters [1999],Coldplay,Only Superstition,3:48,/lyric/6693090/Coldplay/Only+Superstition,http://www.lyrics.com/lyric/6693090/Coldplay/Only+Superstition
7,The Blue Room [1999],Coldplay,Bigger Stronger,4:49,/lyric/3734094/Coldplay/Bigger+Stronger,http://www.lyrics.com/lyric/3734094/Coldplay/Bigger+Stronger
8,The Blue Room [1999],Coldplay,High Speed,4:16,/lyric/3734097/Coldplay/High+Speed,http://www.lyrics.com/lyric/3734097/Coldplay/High+Speed
9,The Blue Room [1999],Coldplay,See You Soon,2:51,/lyric/3734096/Coldplay/See+You+Soon,http://www.lyrics.com/lyric/3734096/Coldplay/See+You+Soon
10,The Blue Room [1999],Coldplay,Such a Rush,4:57,/lyric/3734098/Coldplay/Such+a+Rush,http://www.lyrics.com/lyric/3734098/Coldplay/Such+a+Rush
11,Acoustic CD [2000],Coldplay,Careful Where You Stand,11:51,/lyric/5695676/Coldplay/Careful+Where+You+Stand,http://www.lyrics.com/lyric/5695676/Coldplay/Careful+Where+You+Stand
12,Parachutes [2000],Coldplay,Don't Panic,2:16,/lyric/4294612/Coldplay/Don%27t+Panic,http://www.lyrics.com/lyric/4294612/Coldplay/Don%27t+Panic
13,Parachutes [2000],Coldplay,Everything's Not Lost,7:16,/lyric/4294621/Coldplay/Everything%27s+Not+Lost,http://www.lyrics.com/lyric/4294621/Coldplay/Everything%27s+Not+Lost
14,Parachutes [2000],Coldplay,Parachutes,:46,/lyric/4294618/Coldplay/Parachutes,http://www.lyrics.com/lyric/4294618/Coldplay/Parachutes
15,Parachutes [2000],Coldplay,Sparks,3:47,/lyric/4294615/Coldplay/Sparks,http://www.lyrics.com/lyric/4294615/Coldplay/Sparks
16,Parachutes [2000],Coldplay,Spies,5:18,/lyric/4294614/Coldplay/Spies,http://www.lyrics.com/lyric/4294614/Coldplay/Spies
17,Parachutes [2000],Coldplay,Trouble,4:30,/lyric/4294617/Coldplay/Trouble,http://www.lyrics.com/lyric/4294617/Coldplay/Trouble
18,Parachutes [2000],Coldplay,We Never Change,4:09,/lyric/4294620/Coldplay/We+Never+Change,http://www.lyrics.com/lyric/4294620/Coldplay/We+Never+Change
19,Parachutes [2000],Coldplay,Yellow,4:29,/lyric/4294616/Coldplay/Yellow,http://www.lyrics.com/lyric/4294616/Coldplay/Yellow
20,Parachutes [UK Bonus CD] [2000],Coldplay,Careful Where You Stand [*],4:44,/lyric/5129062/Coldplay/Careful+Where+You+Stand+%5B%2A%5D,http://www.lyrics.com/lyric/5129062/Coldplay/Careful+Where+You+Stand+%5B%2A%5D
21,Parachutes [UK Bonus CD] [2000],Coldplay,Sparks [*],3:49,/lyric/5129061/Coldplay/Sparks+%5B%2A%5D,http://www.lyrics.com/lyric/5129061/Coldplay/Sparks+%5B%2A%5D
22,Shiver [2000],Coldplay,Shiver,5:04,/lyric/23132086/Coldplay/Shiver,http://www.lyrics.com/lyric/23132086/Coldplay/Shiver
23,Yellow [2000],Coldplay,Help Is Round the Corner,2:36,/lyric/9886195/Coldplay/Help+Is+Round+the+Corner,http://www.lyrics.com/lyric/9886195/Coldplay/Help+Is+Round+the+Corner
24,Don't Panic [2001],Coldplay,Bigger Stronger [Live from Norway],4:55,/lyric/5224620/Coldplay/Bigger+Stronger+%5BLive+from+Norway%5D,http://www.lyrics.com/lyric/5224620/Coldplay/Bigger+Stronger+%5BLive+from+Norway%5D
25,Don't Panic [2001],Coldplay,You Only Live Twice [Live from Norway],4:06,/lyric/5224619/Coldplay/You+Only+Live+Twice+%5BLive+from+Norway%5D,http://www.lyrics.com/lyric/5224619/Coldplay/You+Only+Live+Twice+%5BLive+from+Norway%5D
26,Trouble [2001],Coldplay,Brothers and Sisters,4:49,/lyric/4423929/Coldplay/Brothers+and+Sisters,http://www.lyrics.com/lyric/4423929/Coldplay/Brothers+and+Sisters
