,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
0,Give Me Love,Ed Sheeran,Give Me Love [Xilent Remix],3:41,/lyric/30286158/Ed+Sheeran/Give+Me+Love+%5BXilent+Remix%5D,http://www.lyrics.com/lyric/30286158/Ed+Sheeran/Give+Me+Love+%5BXilent+Remix%5D
1,+ [2011],Ed Sheeran,Lego House,3:05,/lyric/28808411/Ed+Sheeran/Lego+House,http://www.lyrics.com/lyric/28808411/Ed+Sheeran/Lego+House
2,+ [2011],Ed Sheeran,The City,3:55,/lyric/24034647/Ed+Sheeran/The+City,http://www.lyrics.com/lyric/24034647/Ed+Sheeran/The+City
3,+ [2011],Ed Sheeran,Drunk,3:19,/lyric/24034653/Ed+Sheeran/Drunk,http://www.lyrics.com/lyric/24034653/Ed+Sheeran/Drunk
4,+ [2011],Ed Sheeran,Give Me Love,8:48,/lyric/24034643/Ed+Sheeran/Give+Me+Love,http://www.lyrics.com/lyric/24034643/Ed+Sheeran/Give+Me+Love
5,+ [2011],Ed Sheeran,Grade 8,3:01,/lyric/24034651/Ed+Sheeran/Grade+8,http://www.lyrics.com/lyric/24034651/Ed+Sheeran/Grade+8
6,+ [2011],Ed Sheeran,Kiss Me,4:38,/lyric/24034644/Ed+Sheeran/Kiss+Me,http://www.lyrics.com/lyric/24034644/Ed+Sheeran/Kiss+Me
7,+ [2011],Ed Sheeran,Small Bump,4:18,/lyric/24034649/Ed+Sheeran/Small+Bump,http://www.lyrics.com/lyric/24034649/Ed+Sheeran/Small+Bump
8,+ [2011],Ed Sheeran,This,3:16,/lyric/24034648/Ed+Sheeran/This,http://www.lyrics.com/lyric/24034648/Ed+Sheeran/This
9,+ [2011],Ed Sheeran,U.N.I.,3:48,/lyric/24034652/Ed+Sheeran/U.N.I.,http://www.lyrics.com/lyric/24034652/Ed+Sheeran/U.N.I.
10,+ [2011],Ed Sheeran,Wake Me Up,3:48,/lyric/24034650/Ed+Sheeran/Wake+Me+Up,http://www.lyrics.com/lyric/24034650/Ed+Sheeran/Wake+Me+Up
11,+ [2011],Ed Sheeran,"You Need Me, I Don't Need You",3:40,/lyric/24034645/Ed+Sheeran/You+Need+Me%2C+I+Don%27t+Need+You,http://www.lyrics.com/lyric/24034645/Ed+Sheeran/You+Need+Me%2C+I+Don%27t+Need+You
12,Loose Change [2011],Ed Sheeran,Let It Out,3:51,/lyric/30082928/Ed+Sheeran/Let+It+Out,http://www.lyrics.com/lyric/30082928/Ed+Sheeran/Let+It+Out
13,Loose Change [2011],Ed Sheeran,Homeless, ,/lyric/25080758/Ed+Sheeran/Homeless,http://www.lyrics.com/lyric/25080758/Ed+Sheeran/Homeless
14,Loose Change [2011],Ed Sheeran,One Night, ,/lyric/25080755/Ed+Sheeran/One+Night,http://www.lyrics.com/lyric/25080755/Ed+Sheeran/One+Night
15,Loose Change [2011],Ed Sheeran,Sofa, ,/lyric/25080756/Ed+Sheeran/Sofa,http://www.lyrics.com/lyric/25080756/Ed+Sheeran/Sofa
16,No. 5 Collaborations [2011],Ed Sheeran,Drown Me Outw/ Ghetts, ,/lyric/25080746/Ghetts/Drown+Me+Out,http://www.lyrics.com/lyric/25080746/Ghetts/Drown+Me+Out
17,No. 5 Collaborations [2011],Ed Sheeran,Familyw/ P Money, ,/lyric/25080749/Ed+Sheeran/Family,http://www.lyrics.com/lyric/25080749/Ed+Sheeran/Family
18,No. 5 Collaborations [2011],Ed Sheeran,Goodbye to Youw/ Dot Rotten, ,/lyric/25080744/Dot+Rotten/Goodbye+to+You,http://www.lyrics.com/lyric/25080744/Dot+Rotten/Goodbye+to+You
19,No. 5 Collaborations [2011],Ed Sheeran,Latelyw/ Devlin, ,/lyric/25080751/Devlin/Lately,http://www.lyrics.com/lyric/25080751/Devlin/Lately
20,No. 5 Collaborations [2011],Ed Sheeran,Little Ladyw/ Mikill Pane, ,/lyric/25080747/Ed+Sheeran/Little+Lady,http://www.lyrics.com/lyric/25080747/Ed+Sheeran/Little+Lady
21,No. 5 Collaborations [2011],Ed Sheeran,"Nightmaresw/ Sway, Wretch 32, Random Impulse", ,/lyric/25080745/Sway/Nightmares,http://www.lyrics.com/lyric/25080745/Sway/Nightmares
22,No. 5 Collaborations [2011],Ed Sheeran,Radiow/ JME, ,/lyric/25080748/JME/Radio,http://www.lyrics.com/lyric/25080748/JME/Radio
23,No. 5 Collaborations [2011],Ed Sheeran,Youw/ Wiley, ,/lyric/25080750/Wiley/You,http://www.lyrics.com/lyric/25080750/Wiley/You
24,Plus [Enhanced Edition] [2011],Ed Sheeran,Autumn Leaves,3:22,/lyric/24854120/Ed+Sheeran/Autumn+Leaves,http://www.lyrics.com/lyric/24854120/Ed+Sheeran/Autumn+Leaves
25,Plus [Enhanced Edition] [2011],Ed Sheeran,Gold Rush,4:04,/lyric/24854118/Ed+Sheeran/Gold+Rush,http://www.lyrics.com/lyric/24854118/Ed+Sheeran/Gold+Rush
26,Plus [Enhanced Edition] [2011],Ed Sheeran,Little Bird,3:45,/lyric/24854119/Ed+Sheeran/Little+Bird,http://www.lyrics.com/lyric/24854119/Ed+Sheeran/Little+Bird
27,Plus [Enhanced Edition] [2011],Ed Sheeran,Sunburn,4:38,/lyric/24854117/Ed+Sheeran/Sunburn,http://www.lyrics.com/lyric/24854117/Ed+Sheeran/Sunburn
28,Songs I Wrote with Amy [2011],Ed Sheeran,Cold Coffee, ,/lyric/25080740/Ed+Sheeran/Cold+Coffee,http://www.lyrics.com/lyric/25080740/Ed+Sheeran/Cold+Coffee
29,Songs I Wrote with Amy [2011],Ed Sheeran,Fire Alarms, ,/lyric/25080742/Ed+Sheeran/Fire+Alarms,http://www.lyrics.com/lyric/25080742/Ed+Sheeran/Fire+Alarms
30,Songs I Wrote with Amy [2011],Ed Sheeran,She, ,/lyric/25080739/Ed+Sheeran/She,http://www.lyrics.com/lyric/25080739/Ed+Sheeran/She
31,Songs I Wrote with Amy [2011],Ed Sheeran,Where We Land, ,/lyric/25080741/Ed+Sheeran/Where+We+Land,http://www.lyrics.com/lyric/25080741/Ed+Sheeran/Where+We+Land
32,The A Team [2011],Ed Sheeran,Fall,2:43,/lyric/28808129/Ed+Sheeran/Fall,http://www.lyrics.com/lyric/28808129/Ed+Sheeran/Fall
33,The A Team [2011],Ed Sheeran,Firefly,4:15,/lyric/28808130/Ed+Sheeran/Firefly,http://www.lyrics.com/lyric/28808130/Ed+Sheeran/Firefly
34,The A Team [2011],Ed Sheeran,A  Team [Acoustic Version],4:01,/lyric/24450446/Ed+Sheeran/A++Team+%5BAcoustic+Version%5D,http://www.lyrics.com/lyric/24450446/Ed+Sheeran/A++Team+%5BAcoustic+Version%5D
35,You Need Me EP [2011],Ed Sheeran,Be Like You, ,/lyric/25080736/Ed+Sheeran/Be+Like+You,http://www.lyrics.com/lyric/25080736/Ed+Sheeran/Be+Like+You
36,You Need Me EP [2011],Ed Sheeran,So, ,/lyric/25080737/Ed+Sheeran/So,http://www.lyrics.com/lyric/25080737/Ed+Sheeran/So
37,X [2014],Ed Sheeran,Even My Dad Does Sometimes,3:48,/lyric/31219222/Ed+Sheeran/Even+My+Dad+Does+Sometimes,http://www.lyrics.com/lyric/31219222/Ed+Sheeran/Even+My+Dad+Does+Sometimes
38,X [2014],Ed Sheeran,Afire Love,5:16,/lyric/30818520/Ed+Sheeran/Afire+Love,http://www.lyrics.com/lyric/30818520/Ed+Sheeran/Afire+Love
39,X [2014],Ed Sheeran,Bloodstream,5:00,/lyric/30818525/Ed+Sheeran/Bloodstream,http://www.lyrics.com/lyric/30818525/Ed+Sheeran/Bloodstream
40,X [2014],Ed Sheeran,Don't,3:39,/lyric/30818528/Ed+Sheeran/Don%27t,http://www.lyrics.com/lyric/30818528/Ed+Sheeran/Don%27t
41,X [2014],Ed Sheeran,I'm a Mess,4:04,/lyric/30818530/Ed+Sheeran/I%27m+a+Mess,http://www.lyrics.com/lyric/30818530/Ed+Sheeran/I%27m+a+Mess
42,X [2014],Ed Sheeran,The Man,4:10,/lyric/30818522/Ed+Sheeran/The+Man,http://www.lyrics.com/lyric/30818522/Ed+Sheeran/The+Man
