,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
0,Misery,Maroon 5,Misery,3:36,/lyric/19832244/Maroon+5/Misery,http://www.lyrics.com/lyric/19832244/Maroon+5/Misery
1,Songs About Jane/It Won't Be Soon Before Long,Maroon 5,Losing My Mind, ,/lyric/25160675/Maroon+5/Losing+My+Mind,http://www.lyrics.com/lyric/25160675/Maroon+5/Losing+My+Mind
2,Songs About Jane [2002],Maroon 5,Harder to Breathe,2:53,/lyric/5515577/Maroon+5/Harder+to+Breathe,http://www.lyrics.com/lyric/5515577/Maroon+5/Harder+to+Breathe
3,Songs About Jane [2002],Maroon 5,Must Get Out,3:59,/lyric/5515583/Maroon+5/Must+Get+Out,http://www.lyrics.com/lyric/5515583/Maroon+5/Must+Get+Out
4,Songs About Jane [2002],Maroon 5,Not Coming Home,4:21,/lyric/5515587/Maroon+5/Not+Coming+Home,http://www.lyrics.com/lyric/5515587/Maroon+5/Not+Coming+Home
5,Songs About Jane [2002],Maroon 5,Secret,4:55,/lyric/5515585/Maroon+5/Secret,http://www.lyrics.com/lyric/5515585/Maroon+5/Secret
6,Songs About Jane [2002],Maroon 5,She Will Be Loved,4:17,/lyric/5515580/Maroon+5/She+Will+Be+Loved,http://www.lyrics.com/lyric/5515580/Maroon+5/She+Will+Be+Loved
7,Songs About Jane [2002],Maroon 5,Shiver,2:59,/lyric/5515579/Maroon+5/Shiver,http://www.lyrics.com/lyric/5515579/Maroon+5/Shiver
8,Songs About Jane [2002],Maroon 5,The Sun,4:11,/lyric/5515582/Maroon+5/The+Sun,http://www.lyrics.com/lyric/5515582/Maroon+5/The+Sun
9,Songs About Jane [2002],Maroon 5,Sweetest Goodbye,4:30,/lyric/5515588/Maroon+5/Sweetest+Goodbye,http://www.lyrics.com/lyric/5515588/Maroon+5/Sweetest+Goodbye
10,Songs About Jane [2002],Maroon 5,Tangled,3:18,/lyric/5515581/Maroon+5/Tangled,http://www.lyrics.com/lyric/5515581/Maroon+5/Tangled
11,Songs About Jane [2002],Maroon 5,This Love,3:26,/lyric/5515578/Maroon+5/This+Love,http://www.lyrics.com/lyric/5515578/Maroon+5/This+Love
12,Songs About Jane [2002],Maroon 5,Through with You,3:01,/lyric/5515586/Maroon+5/Through+with+You,http://www.lyrics.com/lyric/5515586/Maroon+5/Through+with+You
13,Songs About Jane [20th Anniversary Edition] [2002],Maroon 5,Chilly Winter [Demo] [*][Demo Version],2:55,/lyric/26787932/Maroon+5/Chilly+Winter+%5BDemo%5D+%5B%2A%5D%5BDemo+Version%5D,http://www.lyrics.com/lyric/26787932/Maroon+5/Chilly+Winter+%5BDemo%5D+%5B%2A%5D%5BDemo+Version%5D
14,Songs About Jane [20th Anniversary Edition] [2002],Maroon 5,Take What You Want [Demo] [*][Demo Version],2:25,/lyric/26787935/Maroon+5/Take+What+You+Want+%5BDemo%5D+%5B%2A%5D%5BDemo+Version%5D,http://www.lyrics.com/lyric/26787935/Maroon+5/Take+What+You+Want+%5BDemo%5D+%5B%2A%5D%5BDemo+Version%5D
15,Songs About Jane [Bonus Tracks] [2002],Maroon 5,Harder to Breathe [Acoustic][Live][*],2:56,/lyric/7720849/Maroon+5/Harder+to+Breathe+%5BAcoustic%5D%5BLive%5D%5B%2A%5D,http://www.lyrics.com/lyric/7720849/Maroon+5/Harder+to+Breathe+%5BAcoustic%5D%5BLive%5D%5B%2A%5D
16,Songs About Jane [Bonus Tracks] [2002],Maroon 5,Not Coming Home [Live],4:23,/lyric/7720846/Maroon+5/Not+Coming+Home+%5BLive%5D,http://www.lyrics.com/lyric/7720846/Maroon+5/Not+Coming+Home+%5BLive%5D
17,Songs About Jane [Bonus Tracks] [2002],Maroon 5,Rag Doll [*],5:28,/lyric/7720848/Maroon+5/Rag+Doll+%5B%2A%5D,http://www.lyrics.com/lyric/7720848/Maroon+5/Rag+Doll+%5B%2A%5D
18,Songs About Jane [Bonus Tracks] [2002],Maroon 5,Sunday Morning,4:03,/lyric/7720843/Maroon+5/Sunday+Morning,http://www.lyrics.com/lyric/7720843/Maroon+5/Sunday+Morning
19,Songs About Jane [Bonus Tracks] [2002],Maroon 5,This Love [Acoustic][Live][*],4:01,/lyric/7720850/Maroon+5/This+Love+%5BAcoustic%5D%5BLive%5D%5B%2A%5D,http://www.lyrics.com/lyric/7720850/Maroon+5/This+Love+%5BAcoustic%5D%5BLive%5D%5B%2A%5D
20,1.22.03.Acoustic [2004],Maroon 5,If I Fell,3:23,/lyric/7092272/Maroon+5/If+I+Fell,http://www.lyrics.com/lyric/7092272/Maroon+5/If+I+Fell
21,She Will Be Loved [Germany] [2004],Maroon 5,She Will Be Loved [Album Version], ,/lyric/10413910/Maroon+5/She+Will+Be+Loved+%5BAlbum+Version%5D,http://www.lyrics.com/lyric/10413910/Maroon+5/She+Will+Be+Loved+%5BAlbum+Version%5D
22,Live: Friday the 13th [2005],Maroon 5,Hello,3:52,/lyric/8364156/Maroon+5/Hello,http://www.lyrics.com/lyric/8364156/Maroon+5/Hello
23,Live: Friday the 13th [2005],Maroon 5,She Will Be Loved [DVD], ,/lyric/8364172/Maroon+5/She+Will+Be+Loved+%5BDVD%5D,http://www.lyrics.com/lyric/8364172/Maroon+5/She+Will+Be+Loved+%5BDVD%5D
24,Live: Friday the 13th [2005],Maroon 5,Sweetest Goodbye [DVD], ,/lyric/8364170/Maroon+5/Sweetest+Goodbye+%5BDVD%5D,http://www.lyrics.com/lyric/8364170/Maroon+5/Sweetest+Goodbye+%5BDVD%5D
25,Happy Christmas (War is Over) [2007],Maroon 5,Happy Xmas (War Is Over),3:27,/lyric/15561310/Maroon+5/Happy+Xmas+%28War+Is+Over%29,http://www.lyrics.com/lyric/15561310/Maroon+5/Happy+Xmas+%28War+Is+Over%29
26,It Won't Be Soon Before Long [2007],Maroon 5,Back at Your Door,3:46,/lyric/10521584/Maroon+5/Back+at+Your+Door,http://www.lyrics.com/lyric/10521584/Maroon+5/Back+at+Your+Door
27,It Won't Be Soon Before Long [2007],Maroon 5,Better That We Break,3:06,/lyric/10521583/Maroon+5/Better+That+We+Break,http://www.lyrics.com/lyric/10521583/Maroon+5/Better+That+We+Break
28,It Won't Be Soon Before Long [2007],Maroon 5,Can't Stop,2:32,/lyric/10521579/Maroon+5/Can%27t+Stop,http://www.lyrics.com/lyric/10521579/Maroon+5/Can%27t+Stop
29,It Won't Be Soon Before Long [2007],Maroon 5,Goodnight Goodnight,4:03,/lyric/10521580/Maroon+5/Goodnight+Goodnight,http://www.lyrics.com/lyric/10521580/Maroon+5/Goodnight+Goodnight
30,It Won't Be Soon Before Long [2007],Maroon 5,If I Never See Your Face Again,3:21,/lyric/10521573/Maroon+5/If+I+Never+See+Your+Face+Again,http://www.lyrics.com/lyric/10521573/Maroon+5/If+I+Never+See+Your+Face+Again
31,It Won't Be Soon Before Long [2007],Maroon 5,Kiwi,3:34,/lyric/10521582/Maroon+5/Kiwi,http://www.lyrics.com/lyric/10521582/Maroon+5/Kiwi
32,It Won't Be Soon Before Long [2007],Maroon 5,Little of Your Time,2:17,/lyric/10521575/Maroon+5/Little+of+Your+Time,http://www.lyrics.com/lyric/10521575/Maroon+5/Little+of+Your+Time
33,It Won't Be Soon Before Long [2007],Maroon 5,Makes Me Wonder,3:31,/lyric/10521574/Maroon+5/Makes+Me+Wonder,http://www.lyrics.com/lyric/10521574/Maroon+5/Makes+Me+Wonder
34,It Won't Be Soon Before Long [2007],Maroon 5,Not Falling Apart,4:03,/lyric/10521581/Maroon+5/Not+Falling+Apart,http://www.lyrics.com/lyric/10521581/Maroon+5/Not+Falling+Apart
35,It Won't Be Soon Before Long [2007],Maroon 5,Nothing Lasts Forever,3:07,/lyric/10521578/Maroon+5/Nothing+Lasts+Forever,http://www.lyrics.com/lyric/10521578/Maroon+5/Nothing+Lasts+Forever
