,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL,Lyrics
0,Give Me Love,Ed Sheeran,Give Me Love [Xilent Remix],3:41,/lyric/30286158/Ed+Sheeran/Give+Me+Love+%5BXilent+Remix%5D,http://www.lyrics.com/lyric/30286158/Ed+Sheeran/Give+Me+Love+%5BXilent+Remix%5D,"Give me love like her,
'Cause lately I've been waking up alone, Paint splattered teardrops on my shirt,
Told you I'd let them go,
And that I'll fight my corner, Maybe tonight I'll call ya, After my blood turns into alcohol,
No, I just wanna hold ya.

Give a little time to me or burn this out,
We'll play hide and seek to turn this around,
All I want is the taste that your lips allow,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love.

Give me love like never before,
'Cause lately I've been craving more,
And it's been a while but I still feel the same, Maybe I should let you go,
You know I'll fight my corner,
And that tonight I'll call ya, After my blood is drowning in alcohol,
No I just wanna hold ya.

Give a little time to me or burn this out,
We'll play hide and seek to turn this around,
All I want is the taste that your lips allow,
My, my, my, my, oh give me love,
Give a little time to me, or burn this out,
We'll play hide and seek to turn this around,
All I want is the taste that your lips allow,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My my, my, my, oh give me love.

M-my my, m-my my, m-my my, give me love, lover,
M-my my, m-my my, m-my my, give me love, lover,
M-my my, m-my my, m-my my, give me love, lover,
M-my my, m-my my, m-my my, give me love, lover.

M-my my, m-my my, m-my my, give me love, lover,
M-my my, m-my my, m-my my, give me love, lover,
M-my my, m-my my, m-my my, give me love, lover,
M-my my, m-my my, m-my my, give me love, lover (love me, love me, love me).

M-my my, m-my my, m-my my, give me love, lover (give me love),
M-my my, m-my my, m-my my, give me love, lover (give me love),
M-my my, m-my my, m-my my, give me love, lover (give me love, love me),
M-my my, m-my my, m-my my, give me love, lover (give me love).

My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love,
My, my, my, my, oh give me love

Of all the money that e'er I had
I've spent it in good company 
And all the harm that e'er I've done
Alas it was to none but me
And all I've done for want of width 
To memory now I can't recall 
So fill to me the parting glass
Good night and joy be with you all

Of all the comrades that ever I had
They are sorry for my going away
And all the sweethearts that ever I had
They would wish me one more day to stay
But since it falls unto my lot
That I should rise and you should not
I'll gently rise and I'll softly call
Good night and joy be with you all

A man may drink and not be drunk 
A man may fight and not be slain 
A man may court a pretty girl
And perhaps be welcomed back again 
But since it has so ought to be
By a time to rise and a time to fall
Come fill to me the parting glass
Good night and joy be with you all
Good night and joy be with you all"
1,+ [2011],Ed Sheeran,Lego House,3:05,/lyric/28808411/Ed+Sheeran/Lego+House,http://www.lyrics.com/lyric/28808411/Ed+Sheeran/Lego+House,"I'm gonna pick up the pieces 
And build a Lego house 
When things go wrong we can knock it down

My three words have two meanings 
There's one thing on my mind, it's all for you

And it's dark in a cold December, but I've got ya to keep me warm
And if you're broken I'll mend ya
And keep you sheltered from the storm that's raging on now

I'm out of touch, I'm out of love
I'll pick you up when you're getting down
And out of all these things I've done I think I love you better now

I'm out of sight, I'm out of mind
I'll do it all for you in time
And out of all these things I've done I think I love you better now

I'm gonna paint you by numbers and color you in
If things go right we can frame it, and put you on a wall

And it's so hard to say it but I've been here before 
And I'll surrender up my heart and swap it for yours 

I'm out of touch, I'm out of love
I'll pick you up when you're getting down
And out of all these things I've done I think I love you better now

I'm out of sight, I'm out of mind, I'll do it all for you in time
And out of all these things I've done I think I love you better now

Don't hold me down
I think my braces are breaking and it's more than I can take

And if it's dark in a cold December, but I've got ya to keep me warm
And if you're broken I'll mend ya
And keep you sheltered from the storm that's raging on now

I'm out of touch, I'm out of love
I'll pick you up when you're getting down
And out of all these things I've done I think I love you better now

I'm out of sight, I'm out of mind
I'll do it all for you in time
And out of all these things I've done I think I love you better now

I'm out of touch, I'm out of love
I'll pick you up when you're getting down
And out of all these things I've done, I'll love you better now"
2,+ [2011],Ed Sheeran,The City,3:55,/lyric/24034647/Ed+Sheeran/The+City,http://www.lyrics.com/lyric/24034647/Ed+Sheeran/The+City,"This city never sleeps
I hear the people walk by when it's late Sirens bleed through my windowsill I can't close my eyes
Can't control what I'm into
This tower is alive The lights that blind keep me awake With my hood up and lace untied Sleep fills my mind
Can't control what I'm into
 London calls me a stranger A traveler This is now my home, my home
I'm burning on the back street Stuck here sitting in the backseat I'm blazing on the street What I do isn't up to you
And if the city never sleeps
Then that makes two

The pavement is my friend And it will take me where I need to go
I find it trips me up
And puts me down
This is not what I'm used to
The shop across the road Fulfills my needs and gives me company When I need it Voices speak through my walls I don't think I'm gonna make it
Past tomorrow  London calls me a stranger A traveler This is now my home, my home
I'm burning on the back street Stuck here sitting in the backseat I'm blazing on the street What I do isn't up to you
And if the city never sleeps
Then that makes two

And my lungs hurt
And my ears bled
With the sound of the city life Echoed in my head
Do I need this to keep me alive?
The traffic stops and starts But I need to move along  London calls me a stranger This is not my home, home
I'm burning on the back street Stuck here sitting in the backseat I'm blazing on the street What I do isn't up to you
And if the city never sleeps
Then that makes two"
3,+ [2011],Ed Sheeran,Drunk,3:19,/lyric/24034653/Ed+Sheeran/Drunk,http://www.lyrics.com/lyric/24034653/Ed+Sheeran/Drunk,"I wanna be drunk when I wake up
On the right side of the wrong bed
And every excuse I made up
Tell you the truth I hate
What didn't kill me
It never made me stronger at all
Love will scar your make-up lip sticks to me
So now I'll maybe leave back there 
I'm sat here wishing I was sober 
I know I'll never hold you like I used to

But our house gets cold when you cut the heating  Without you to hold I'll be freezing 
Can't rely on my heart to beat it
'Cause you take part of it every evening
Take words out of my mouth just from breathing  Replace with phrases like when you're leaving me
 Should I, should I? Maybe I'll get drunk again
I'll be drunk again
I'll be drunk again
To feel a little love

I wanna hold your heart in both hands 
I'll watch it fizzle at the bottom of a Coke can
And I've got no plans for the weekend 
So shall we speak then
Keep it between friends Though I know you'll never love me like you used to
 There maybe other people like us
You see the flicker of the clip when they light up Flames just create us, burns don't heal like before 
You don't hold me anymore 

On cold days Coldplay's out like the band's the name
I know I can't heal things with a hand shake 
You know I can't change as I began saying
You cut me wide open like landscape 
Open bottles of beer but never champagne
To applaud you with the sound that my hands make
 Should I, should I? Maybe I'll get drunk again
I'll be drunk again
I'll be drunk again
To feel a little love

All by myself 
I'm here again 
All by myself 
You know I'll never change
All by myself 
All by myself 
I'm just drunk again
I'll be drunk again
I'll be drunk again
To feel a little love"
4,+ [2011],Ed Sheeran,Give Me Love,8:48,/lyric/24034643/Ed+Sheeran/Give+Me+Love,http://www.lyrics.com/lyric/24034643/Ed+Sheeran/Give+Me+Love,"Give me love like her
'Cause lately I've been waking up alone  Paint splattered teardrops on my shirt 
Told you I'd let them go
And that I'll fight my corner  Maybe tonight I'll call ya After my blood turns into alcohol 
No, I just wanna hold ya

Give a little time to me or burn this out
We'll play hide and seek to turn this around 
All I want is the taste that your lips allow 
My, my, my, my, oh give me love
My, my, my, my, oh give me love
My, my, my, my, oh give me love
My, my, my, my, oh give me love
My, my, my, my, oh give me love

Give me love like never before
'Cause lately I've been craving more
And it's been a while but I still feel the same Maybe I should let you go
You know I'll fight my corner 
And that tonight I'll call ya After my blood is drowning in alcohol 
No I just wanna hold ya

Give a little time to me or burn this out
We'll play hide and seek to turn this around 
All I want is the taste that your lips allow 
My, my, my, my, oh give me love
Give a little time to me, or burn this out
We'll play hide and seek to turn this around 
All I want is the taste that your lips allow 
My, my, my, my, oh give me love
My, my, my, my, oh give me love
My, my, my, my, oh give me love
My, my, my, my, oh give me love
My my, my, my, oh give me love

M-my my, m-my my, m-my my, give me love, lover 
M-my my, m-my my, m-my my, give me love, lover 
M-my my, m-my my, m-my my, give me love, lover 
M-my my, m-my my, m-my my, give me love, lover 

M-my my, m-my my, m-my my, give me love, lover 
M-my my, m-my my, m-my my, give me love, lover 
M-my my, m-my my, m-my my, give me love, lover 
M-my my, m-my my, m-my my, give me love, lover (love me, love me, love me)

M-my my, m-my my, m-my my, give me love, lover (give me love)
M-my my, m-my my, m-my my, give me love, lover (give me love)
M-my my, m-my my, m-my my, give me love, lover (give me love, love me)
M-my my, m-my my, m-my my, give me love, lover (give me love)

My, my, my, my, oh give me love
My, my, my, my, oh give me love
My, my, my, my, oh give me love
My, my, my, my, oh give me love

Of all the money that e'er I had
I've spent it in good company 
And all the harm that e'er I've done
Alas it was to none but me
And all I've done for want of width 
To memory now I can't recall 
So fill to me the parting glass
Good night and joy be with you all

Of all the comrades that ever I had
They are sorry for my going away
And all the sweethearts that ever I had
They would wish me one more day to stay
But since it falls unto my lot
That I should rise and you should not
I'll gently rise and I'll softly call
Good night and joy be with you all

A man may drink and not be drunk 
A man may fight and not be slain 
A man may court a pretty girl
And perhaps be welcomed back again 
But since it has so ought to be
By a time to rise and a time to fall
Come fill to me the parting glass
Good night and joy be with you all
Good night and joy be with you all"
5,+ [2011],Ed Sheeran,Grade 8,3:01,/lyric/24034651/Ed+Sheeran/Grade+8,http://www.lyrics.com/lyric/24034651/Ed+Sheeran/Grade+8,"My mind is a warrior,
My heart is a foreigner,
My eyes are the color of red like the sunset,
I'll never keep it bottled up,
Left to the hands of the coroner,
Be a true heart not a follower,
We're not done yet now,
I see it in your movements tonight,
If we can ever do this right,
I'm never gonna let you down,
Oh I'll never let you down,
Now keep it on the down low
And I'll keep you around so I'll know,
That I'll never let you down,
I'll never let you down.

You're strumming on my heart strings
Like you were a grade eight but I never felt this way,
I'll pick your feet up off of the ground And never ever let you down,
You're strumming on my heart strings
Like you were a grade eight but I never felt this way,
I'll pick your feet up off of the ground And never ever let you down

My eyes are a river filler,
This drink is a liver killer,
My chest is a pillow for my weary head to lay to rest again,
Your body is my ballpoint pen

And your mind is my new best friend,
Your eyes are my mirror to take me to the edge again,
Now I see it in your movements tonight,
If we should ever do this right,
I'm never gonna let you down,
Oh I'll never let you down,
We'll keep it on the down low
And I'll keep you around so I'll know,
That I'll never let you down,
I'll never let you down

You're strumming on my heart strings
Like you were a grade eight but I never felt this way,
I'll pick your feet up off of the ground And never ever let you down

You're strumming on my heart strings
Like you were a grade eight but I never felt this way,
I'll pick your feet up off of the ground And never ever let you down

Hold my heart to stop me bleeding now, now, now,
And I'll never let you down
Hold my heart to stop me bleeding now, now, now,
And I'll never let you down
Hold my heart to stop me bleeding now, now, now,
And I'll never let you down
Hold my heart to stop me bleeding now, now, now,
And I'll never let you down

You're strumming on my heart strings
Like you were a grade eight but I never felt this way,
I'll pick your feet up off of the ground And never ever let you down

You're strumming on my heart strings
Like you were a grade eight but I never felt this way,
I'll pick your feet up off of the ground And never ever let you down"
6,+ [2011],Ed Sheeran,Kiss Me,4:38,/lyric/24034644/Ed+Sheeran/Kiss+Me,http://www.lyrics.com/lyric/24034644/Ed+Sheeran/Kiss+Me,"Settle down with me Cover me up Cuddle me in

Lie down with me
And hold me in your arms

And your heart's against my chest, your lips pressed in my neck
I'm falling for your eyes, but they don't know me yet
And with a feeling I'll forget, I'm in love now

Kiss me like you wanna be loved 
You wanna be loved 
You wanna be loved 
This feels like falling in love Falling in love
We're falling in love
 Settle down with me
And I'll be your safety 
You'll be my lady

I was made to keep your body warm
But I'm cold as the wind blows so hold me in your arms

Oh no
My heart's against your chest, your lips pressed in my neck
I'm falling for your eyes, but they don't know me yet
And with this feeling I'll forget, I'm in love now

Kiss me like you wanna be loved 
You wanna be loved 
You wanna be loved 
This feels like falling in love Falling in love
We're falling in love

Yeah I've been feeling everything
From hate to love
From love to lust
From lust to truth 
I guess that's how I know you
So I hold you close to help you give it up

So kiss me like you wanna be loved 
You wanna be loved 
You wanna be loved 
This feels like falling in love Falling in love
We're falling in love

Kiss me like you wanna be loved 
You wanna be loved 
You wanna be loved 
This feels like falling in love Falling in love
We're falling in love"
7,+ [2011],Ed Sheeran,Small Bump,4:18,/lyric/24034649/Ed+Sheeran/Small+Bump,http://www.lyrics.com/lyric/24034649/Ed+Sheeran/Small+Bump,"You were just a small bump unborn, in four months you're brought to life
You might be left with my hair, but you'll have your mother's eyes
I'll hold your body in my hands be as gentle as I can
And now your scan on my unmade plans Small bump, in four months you're brought to life

I'll hold you tightly, I'll give you nothing but truth 
If you're not inside me, I'll put my future in you

You are my one, and only
You can wrap your fingers round my thumb and hold me tight 
Oh you are my one, and only
You can wrap your fingers round my thumb and hold me tight 
And you'll be alright 

You're just a small bump unknown and you’ll grow into your skin
With a smile like hers and a dimple beneath your chin
(Oh) Finger nails the size of a half grain of rice
And eyelids closed to be soon opened wide a small bump
In four months you'll open your eyes

I'll hold you tightly, I'll give you nothing but truth 
If you're not inside me, I'll put my future in you

You are my one, and only
You can wrap your fingers round my thumb and hold me tight 
Oh you are my one, and only
You can wrap your fingers round my thumb and hold me tight 
And you'll be alright 

You can lie with me, with your tiny feet when your half asleep 
I'll leave you be Right in front of me for a couple weeks
So I can keep you safe

'Cause you are my one, and only
You can wrap your fingers round my thumb and hold me tight 
Oh you are my one, and only
You can wrap your fingers round my thumb and hold me tight 
And you'll be alright 

You were just a small bump unborn, for four months then torn from life Maybe you were needed up there but we're still unaware as why"
8,+ [2011],Ed Sheeran,This,3:16,/lyric/24034648/Ed+Sheeran/This,http://www.lyrics.com/lyric/24034648/Ed+Sheeran/This,"This is the start of something beautiful
This is the start of something new
You are the one who'd make me lose it all
You are the start of something new, ooh

And I'll throw it all away
And watch you fall into my arms again And I'll throw it all away Watch you fall, now

You are the earth that I will stand upon
You are the words that I will sing

And I've thrown it all away
And watched you fall into his arms again And I thrown it all away Watched you fall, now

And take me back
Take me home Watch me fall
Down to earth Take me back for

This is the start of something beautiful
You are the start of something new"
9,+ [2011],Ed Sheeran,U.N.I.,3:48,/lyric/24034652/Ed+Sheeran/U.N.I.,http://www.lyrics.com/lyric/24034652/Ed+Sheeran/U.N.I.,"I found your hairband on my bedroom floor
The only evidence that you've been here before 
And I don't get waves of missing you anymore 
They're more like tsunami tides in my eyes Never getting dry so I get high smoke in the day then I sleep with the light on Weeks pass in the blink of an eye
And I'm still drunk by the end of the night 
I don't drink like everybody else
End up forgetting things about myself
I'm stubborn I'm forward head's just blocked 
My head's still with you but my hearts just not

So am I close to you anymore if it's over
And there's no chance that we'll work it out
That's why you and I ended over U-N-I
And I said that's fine but you're the only one that knows I lied
You and I ended over U-N-I
And I said that's fine, but you're the only one that knows I lied
 Everybody said that we'll be together forever but I know that
I never wanna settle down come around break up the love like Lego now Never wanna turn into another like you Sleep with my thoughts dance with my views 
Everything's great but everything's short 
But you live in your halls and I live in a tour bus
Now I'm in position to be another stalker
And every thing I say seems to always sound awkward 
Like our last kiss it was perfect but we were nervous 
On the surface 
And I'm always saying everyday that it was worth it
Pain is only relevant if it still hurts
I forget like an elephant or we can use a sedative 
And go back to the day we fell in love on first kiss

So am I close to you anymore if it's over
And there's no chance that we'll work it out
Oh you and I ended over U-N-I
And I said that's fine but you're the only one that knows I lied
You and I ended over U-N-I
And I said that's fine but you're the only one that knows I lied
 Because if I was gonna go somewhere I'd be there by now
And maybe I can let myself down oh
And thinking I am unaware I keep my feet on the ground 
Keep looking around to make sure I'm not he only one to feel low Because if you want I'll take you in my arms
And keep you sheltered from all that I've done wrong 
And I know you'll say that I'm the only one
But I know that god made another one of me
To love you better than I ever will

'Cause you and I ended over U-N-I
And I said that's fine but you're the only one that knows I lied
You and I ended over U-N-I
And I said that's fine but you're the only one that knows I lied"
